,NAME,ID,N_SWINGS,N_TAKES,N_P,G%S,GS_RV,B%S,BS_RV,SRV,G%T,GT_RV,B%T,BT_RV,TRV,TOT_RV,EXP_RV,SWTR,SWTR_Per650,Correct%,Selective,Agression,SEAGER,L_SEAGER,SEAGER_Percentile,Selective_Percentile,Agression_Percentile,SWTR_Percentile
130,"Carlson, Dylan",666185,904,1057,1961,48.2,-8.1,51.8,-19.8,-27.9,87.2,33.0,12.8,-6.0,27.0,-0.9,-6.1,5.2,6.7,69.3,67.9,12.8,55.1,35.5,95,87,94,63
131,"Estrada, Thairo",642731,946,988,1934,50.4,1.8,49.6,-21.1,-19.3,80.3,29.3,19.7,-7.0,22.4,3.0,3.1,-0.1,-0.1,65.7,62.4,19.7,42.7,30.7,30,37,32,36
132,"Grossman, Robbie",543257,794,1147,1941,61.7,4.2,38.3,-17.0,-12.8,76.6,33.1,23.4,-10.7,22.3,9.5,-1.4,10.9,14.2,70.5,64.2,23.4,40.8,38.3,16,54,5,92
133,"Kiner-Falefa, Isiah",643396,866,1071,1937,50.3,-7.4,49.7,-23.8,-31.2,79.3,28.6,20.7,-8.0,20.6,-10.7,-12.7,2.0,2.7,66.3,66.1,20.7,45.3,29.6,48,74,23,49
134,"Dozier, Hunter",641531,980,957,1937,49.9,0.6,50.1,-28.0,-27.4,81.4,30.5,18.6,-7.3,23.2,-4.2,-3.8,-0.4,-0.5,65.5,61.4,18.6,42.8,31.3,31,27,42,34
135,"Benintendi, Andrew",643217,927,998,1925,55.6,-1.2,44.4,-17.0,-18.2,86.2,34.4,13.8,-5.6,28.8,10.6,2.2,8.4,11.1,71.4,62.5,13.8,48.7,41.7,73,38,87,80
136,"Marte, Starling",516782,947,963,1910,45.7,-7.0,54.3,-23.3,-30.3,81.3,27.1,18.7,-6.6,20.4,-9.9,-6.7,-3.1,-4.2,63.7,64.4,18.7,45.7,27.0,52,58,40,21
137,"Espinal, Santiago",669289,876,1030,1906,51.7,-3.9,48.3,-22.3,-26.2,81.6,31.7,18.4,-6.6,25.1,-1.1,-6.1,5.0,6.6,67.8,65.0,18.4,46.5,33.3,58,63,45,63
138,"Joe, Connor",656582,767,1132,1899,55.1,-5.8,44.9,-14.9,-20.7,79.1,34.3,20.9,-10.7,23.6,2.9,-7.1,10.0,13.4,69.4,67.9,20.9,47.0,34.2,64,87,22,90
139,"Polanco, Jorge",593871,803,1095,1898,55.3,1.3,44.7,-15.7,-14.4,79.3,39.8,20.7,-8.6,31.1,16.7,10.2,6.5,8.7,69.1,66.2,20.7,45.4,34.6,49,75,23,71
140,"Walls, Taylor",670764,804,1076,1880,56.8,-6.1,43.2,-19.9,-26.0,83.2,34.1,16.8,-7.4,26.7,0.7,-10.1,10.9,14.7,71.9,66.2,16.8,49.4,40.0,78,75,63,93
141,"Sánchez, Gary",596142,828,1053,1881,51.1,-1.5,48.9,-18.8,-20.2,76.5,31.9,23.5,-10.0,21.9,1.7,0.1,1.5,2.1,65.3,65.6,23.5,42.1,27.6,26,70,5,47
142,"Stott, Bryson",681082,840,1033,1873,53.0,-0.1,47.0,-18.2,-18.3,78.2,29.3,21.8,-7.5,21.8,3.4,-0.3,3.8,5.1,66.9,64.5,21.8,42.7,31.2,30,59,16,58
143,"Suzuki, Seiya",673548,726,1130,1856,53.9,-7.5,46.1,-19.9,-27.4,78.5,32.5,21.5,-9.7,22.8,-4.5,-14.2,9.7,13.2,68.9,69.4,21.5,47.9,32.4,69,93,18,89
144,"Cooper, Garrett",643265,842,1019,1861,49.4,-5.6,50.6,-17.9,-23.5,81.9,30.5,18.1,-8.2,22.3,-1.1,-4.4,3.3,4.5,67.2,66.7,18.1,48.7,31.3,73,79,49,55
145,"Reyes, Franmil",614177,885,968,1853,49.2,0.3,50.8,-19.7,-19.4,79.5,30.9,20.5,-8.6,22.3,2.9,2.2,0.7,1.0,65.0,63.9,20.5,43.4,28.7,35,51,25,40
146,"Gurriel Jr., Lourdes",666971,901,950,1851,54.9,9.6,45.1,-13.9,-4.3,78.2,28.6,21.8,-6.7,21.9,17.6,15.2,2.4,3.3,66.9,60.0,21.8,38.2,33.1,6,16,16,51
147,"Lux, Gavin",666158,786,1058,1844,56.0,-5.4,44.0,-12.2,-17.7,83.1,33.4,16.9,-8.4,25.1,7.4,0.1,7.3,10.1,71.5,66.6,16.9,49.7,39.1,80,79,62,75
148,"Stanton, Giancarlo",519317,794,1044,1838,44.0,-5.0,56.0,-20.6,-25.5,80.7,32.4,19.3,-8.8,23.6,-1.9,-1.6,-0.3,-0.4,64.9,70.7,19.3,51.5,24.7,85,96,35,35
149,"Choi, Ji Man",596847,765,1072,1837,56.6,-3.2,43.4,-16.8,-20.0,84.3,38.5,15.7,-6.6,32.0,12.0,-0.4,12.4,17.2,72.8,67.6,15.7,51.9,40.9,89,84,71,96
150,"Pollock, AJ",572041,984,853,1837,52.4,4.5,47.6,-19.4,-14.9,79.5,26.3,20.5,-4.7,21.6,6.8,5.5,1.3,1.8,65.0,56.8,20.5,36.3,31.9,3,6,25,46
151,"Miller, Owen",680911,881,955,1836,44.8,0.0,55.2,-29.6,-29.5,78.3,26.9,21.7,-7.8,19.0,-10.5,-8.1,-2.4,-3.3,62.3,65.4,21.7,43.8,23.2,38,68,17,23
152,"Hoerner, Nico",663538,885,918,1803,45.6,-6.6,54.4,-22.7,-29.3,78.5,25.5,21.5,-6.5,19.0,-10.3,-9.8,-0.5,-0.7,62.4,64.1,21.5,42.6,24.2,29,53,18,33
153,"Peralta, David",444482,921,908,1829,49.6,0.7,50.4,-16.0,-15.2,80.1,28.4,19.9,-6.4,22.0,6.8,7.1,-0.3,-0.4,64.7,61.4,19.9,41.5,29.7,21,27,30,35
