"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp"
636,671289,"Freeman, Tyler",636,100,0.242,0.124,0.275,0.366,0.29,0.315,0.272,37,153,84.4,5.5,2284,88.7,88.93,54,303,333,0.20000000000000284,6.42,108,149,114,146,295,316,282,"5.6","-5.6"
633,543592,"Nola, Austin",633,100,0.146,0.046,0.184,0.192,0.216,0.263,0.2,19,130,82.5,12,2262,89.4,89.41,38,249,384,0,6.38,107,151,118,147,304,322,288,"17.8","-17.8"
628,672820,"Sosa, Lenyn",628,100,0.201,0.146,0.227,0.348,0.241,0.294,0.254,33,164,87,13.2,2263,88.4,88.88,80,334,294,0.5,6.54,108,151,114,147,301,324,289,"8.9","-8.9"
624,665804,"Amaya, Miguel",624,100,0.214,0.145,0.264,0.359,0.31,0.332,0.232,28,131,85.8,17.7,2255,88.3,88.16,79,289,335,-0.09999999999999432,6.41,110,151,121,147,298,320,293,"-3.8","3.8"
614,624431,"Trevino, Jose",614,100,0.21,0.102,0.221,0.312,0.252,0.279,0.245,33,157,85.4,9.1,2262,88.6,88.92,46,280,334,0.30000000000001137,6.51,108,150,121,147,301,321,286,"6.2","-6.2"
611,641856,"McKinney, Billy",611,100,0.227,0.18,0.274,0.406,0.315,0.346,0.242,29,128,89.1,12.2,2253,89.4,89.69,78,273,338,0.29999999999999716,6.47,115,145,115,152,296,326,293,"5.8","-5.8"
610,665839,"Valdez, Enmanuel",610,100,0.266,0.187,0.323,0.453,0.328,0.305,0.236,37,139,87.5,10.2,2243,89,88.46,65,267,343,-0.5,6.47,114,146,110,151,281,321,303,"-2.1","2.1"
609,665019,"Clemens, Kody",609,100,0.23,0.137,0.295,0.367,0.281,0.271,0.224,32,139,90.4,15.2,2230,89,89.02,81,290,319,0,6.33,114,147,116,152,288,322,296,"8.7","-8.7"
606,572287,"Zunino, Mike",606,100,0.177,0.129,0.317,0.306,0.261,0.24,0.157,22,124,85.9,15.1,2276,89.2,89.44,121,283,323,0.20000000000000284,6.44,108,152,121,145,297,321,291,"6.1","-6.1"
605,670156,"Mastrobuoni, Miles",605,100,0.241,0.06,0.31,0.301,0.275,0.302,0.259,32,133,84.8,10.4,2275,89.3,89.54,52,230,375,0.20000000000000284,6.43,116,145,109,151,284,317,302,"7.7","-7.7"
605,686527,"Canzone, Dominic",605,100,0.22,0.179,0.237,0.399,0.282,0.326,0.258,38,173,89.7,16.4,2212,88.6,88.87,84,329,276,0.30000000000001137,6.39,114,145,109,151,290,321,297,"8.1","-8.1"
604,642851,"Wynns, Austin",604,100,0.208,0.069,0.286,0.277,0.245,0.224,0.183,27,130,84.1,14.3,2288,89.1,89.61,81,291,313,0.5,6.42,110,150,119,147,308,325,291,"7.4","-7.4"
601,669134,"Campusano, Luis",601,100,0.321,0.173,0.331,0.494,0.366,0.355,0.307,52,162,88.5,13.1,2267,88.6,88.62,60,332,269,0,6.39,108,151,121,147,300,323,292,"-9.2","9.2"
599,570731,"Schoop, Jonathan",599,100,0.213,0.059,0.287,0.272,0.249,0.276,0.23,29,136,89.4,11.2,2261,89.3,89.7,92,315,284,0.4000000000000057,6.53,108,151,120,146,303,326,292,"12.2","-12.2"
594,678009,"Meadows, Parker",594,100,0.232,0.136,0.302,0.368,0.308,0.325,0.251,29,125,88.9,17.2,2202,89.9,90.07,61,254,340,0.19999999999998863,6.39,116,147,113,152,292,328,299,"0","0"
593,608596,"Murphy, Tom",593,100,0.29,0.248,0.358,0.538,0.367,0.351,0.261,42,145,89.5,13.7,2232,88,88.24,94,309,284,0.20000000000000284,6.38,108,152,121,146,299,324,291,"-0.3","0.3"
585,595956,"Gallagher, Cam",585,100,0.126,0.042,0.184,0.168,0.145,0.173,0.154,18,143,81.6,17.1,2304,88.8,89.09,67,301,284,0.29999999999999716,6.45,107,150,119,146,295,315,283,"20.2","-20.2"
585,596059,"Odor, Rougned",585,100,0.203,0.152,0.247,0.355,0.291,0.32,0.241,28,138,89.7,18.9,2255,88.8,88.96,77,284,301,0.20000000000000284,6.43,117,145,110,152,293,327,298,"-4","4"
584,676480,"Barrero, Jose",584,100,0.218,0.105,0.307,0.323,0.276,0.277,0.219,29,133,87.5,17.1,2283,87.5,87.86,103,293,291,0.4000000000000057,6.49,108,150,118,148,299,320,289,"5.3","-5.3"
583,542364,"Ortega, Rafael",583,100,0.219,0.053,0.3,0.272,0.288,0.283,0.211,25,114,84.8,9.5,2220,88.5,88.47,56,251,332,0,6.3,118,146,110,151,288,322,299,"0.8","-0.8"
583,676914,"Schneider, Davis",583,100,0.276,0.328,0.369,0.603,0.424,0.355,0.214,32,116,89.5,26,2218,88.9,89.17,85,228,355,0.29999999999999716,6.45,107,151,119,146,296,324,290,"-9.3","9.3"
580,669911,"Toglia, Michael",580,100,0.163,0.121,0.218,0.284,0.225,0.255,0.203,23,141,90.2,16.6,2277,88.4,88.65,112,289,291,0.19999999999998863,6.24,116,148,123,151,303,332,305,"12.4","-12.4"
578,642336,"Mejía, Francisco",578,100,0.227,0.173,0.266,0.4,0.28,0.243,0.204,34,150,86.9,18.7,2222,88,88.1,76,344,234,0.09999999999999432,6.41,115,146,116,149,293,325,294,"2.6","-2.6"
576,553882,"Narváez, Omar",576,100,0.213,0.087,0.245,0.299,0.261,0.312,0.254,27,127,85.4,20.2,2245,89.4,89.51,44,265,311,0.09999999999999432,6.4,117,146,122,151,285,321,300,"10.1","-10.1"
576,621545,"Remillard, Zach",576,100,0.252,0.068,0.367,0.32,0.27,0.219,0.2,37,147,80.6,8.3,2277,89,89.37,90,272,303,0.4000000000000057,6.47,106,151,108,145,299,320,290,"3.3","-3.3"
567,656180,"Adams, Riley",567,100,0.273,0.203,0.368,0.476,0.342,0.278,0.224,39,143,89.3,18.2,2190,88.4,88.88,85,300,267,0.5,6.57,107,151,122,147,302,323,290,"-2.9","2.9"
566,443558,"Cruz, Nelson",566,100,0.245,0.154,0.323,0.399,0.291,0.297,0.242,35,143,92.4,10.2,2242,88.8,88.92,107,296,270,0.10000000000000853,6.4,109,152,123,147,305,326,294,"1.1","-1.1"
562,641432,"Calhoun, Willie",562,100,0.239,0.164,0.245,0.403,0.307,0.305,0.26,32,134,90.7,11.9,2227,89.2,89.53,35,223,339,0.29999999999999716,6.56,114,145,120,151,293,323,292,"3","-3"
561,679032,"Rojas, Johan",561,100,0.302,0.128,0.41,0.43,0.335,0.267,0.247,45,149,81.3,5.9,2242,89.1,89.23,79,305,256,0.10000000000000853,6.41,104,149,106,146,297,319,286,"-3.3","3.3"
559,608348,"Kelly, Carson",559,100,0.206,0.081,0.274,0.287,0.255,0.245,0.185,28,136,86.8,15.6,2267,89.4,89.61,77,255,304,0.19999999999998863,6.43,109,151,122,147,303,325,289,"8","-8"
557,572041,"Pollock, AJ",557,100,0.165,0.143,0.173,0.308,0.227,0.267,0.201,22,133,89.4,13,2220,87.7,87.83,74,287,270,0.09999999999999432,6.33,108,152,120,146,300,322,291,"8","-8"
552,571976,"Myers, Wil",552,100,0.189,0.094,0.273,0.283,0.243,0.249,0.189,24,127,86.9,9.9,2317,87.6,87.73,88,239,313,0.10000000000000853,6.42,111,151,118,149,302,322,293,"12.8","-12.8"
547,676946,"Batten, Matthew",547,100,0.258,0.1,0.33,0.358,0.321,0.27,0.21,31,120,84.1,13.1,2208,89.6,89.85,59,219,328,0.30000000000001137,6.46,108,150,115,147,298,321,291,"-0.3","0.3"
546,572816,"Dickerson, Corey",546,100,0.252,0.105,0.296,0.357,0.279,0.29,0.257,36,143,88.1,9.4,2241,88.8,88.99,74,330,216,0.20000000000000284,6.47,114,146,122,151,288,321,302,"6.1","-6.1"
545,669304,"Miranda, Jose",545,100,0.211,0.092,0.235,0.303,0.252,0.281,0.242,30,142,87.9,10.1,2274,88.2,88.09,71,282,263,-0.10000000000000853,6.36,106,151,119,147,298,323,288,"8.1","-8.1"
544,681584,"Villar, David",544,100,0.145,0.169,0.173,0.315,0.244,0.306,0.211,18,124,87,19.6,2317,88.2,88.26,90,234,310,0.09999999999999432,6.35,107,151,119,146,299,320,292,"12.1","-12.1"
539,663845,"Rivas III, Alfonso",539,100,0.231,0.194,0.31,0.426,0.315,0.284,0.219,25,108,87.7,11.1,2231,89.8,90.06,63,230,309,0.29999999999999716,6.39,116,147,116,150,294,323,303,"0.5","-0.5"
535,691026,"Winn, Masyn",535,100,0.172,0.066,0.196,0.238,0.211,0.25,0.214,21,122,84.3,12.4,2250,88.5,88.98,50,232,303,0.5,6.55,106,150,111,147,305,321,289,"14.3","-14.3"
531,689172,"Wisely, Brett",531,100,0.175,0.092,0.241,0.267,0.222,0.238,0.181,21,120,83.1,14.3,2224,89.5,89.87,86,275,256,0.4000000000000057,6.45,116,146,104,151,289,321,298,"11.7","-11.7"
530,694384,"Schanuel, Nolan",530,100,0.275,0.055,0.326,0.33,0.336,0.35,0.28,30,109,84.8,5.9,2190,90.1,90.34,39,221,309,0.20000000000000284,6.51,116,146,118,152,288,319,300,"-3.8","3.8"
519,691016,"Soderstrom, Tyler",519,100,0.16,0.08,0.212,0.24,0.216,0.273,0.212,20,125,89.3,5.7,2148,87.9,88.07,85,258,261,0.19999999999998863,6.38,118,147,122,152,297,324,301,"12.2","-12.2"
519,675656,"Smith, Kevin",519,100,0.185,0.141,0.253,0.326,0.236,0.237,0.18,25,135,84.8,10.3,2281,88.7,88.88,87,277,242,0.20000000000000284,6.38,108,151,110,147,304,323,290,"15.3","-15.3"
517,596847,"Choi, Ji Man",517,100,0.163,0.221,0.169,0.385,0.267,0.349,0.237,17,104,93.4,11.9,2278,88.8,88.82,74,240,277,0,6.46,116,145,123,151,293,323,300,"8.2","-8.2"
515,663630,"McKenna, Ryan",515,100,0.254,0.107,0.354,0.361,0.298,0.276,0.226,31,122,87.8,9.1,2190,88.7,89,93,274,241,0.29999999999999716,6.49,106,150,112,146,306,324,287,"0.6","-0.6"
510,645444,"Herrera, Jose",510,100,0.208,0.05,0.292,0.257,0.256,0.26,0.209,21,101,82.4,9.7,2251,88.8,89.06,38,199,311,0.29999999999999716,6.42,114,147,116,150,291,322,299,"7.1","-7.1"
509,680118,"Blanco, Dairon",509,100,0.258,0.194,0.33,0.452,0.333,0.304,0.243,32,124,82.4,6.4,2244,89.1,89.48,75,256,253,0.4000000000000057,6.49,102,148,106,145,303,324,291,"-1.5","1.5"
503,571466,"Barnhart, Tucker",503,100,0.202,0.055,0.313,0.257,0.25,0.234,0.177,22,109,87,16.5,2247,88.6,87.16,59,237,266,-1.3999999999999915,6.44,115,145,114,150,286,316,296,"6","-6"
